QID,统一英文全名,P31|标签|实例英文
Q28031832,The Nativity,painting
Q26692514,The Plague at Ashdod,painting
Q110803137,The Presentation in the Temple,drawing
Q21722847,Presentation the Virgin Mary into the Temple,painting
Q18572437,Public Felicity Triumphant over Dangers,painting
Q26713748,Mythological Scene with the Rape of Proserpine,painting
Q3203105,Rape of the Sabine Women,painting
Q5968478,The Visit of Henry III to the Villa Contarini,painting
Q18573503,Resurrection of Christ,painting
Q23929203,The Resurrection,painting
Q50812385,"The Sala grande of the Ridotto, Palazzo Dandolo, S. Moisè",painting
Q3212826,The Tiburtine Sibyl announces the advent of Christ to Augustus,painting
Q930137,The Tempest,painting
Q65077262,Pan Subdued by Cupid (from a painting by Carracci) and Triumph of Bacchus (from a painting by Pietro da Cortona),print
Q7848306,Truth,statue
Q275349,Rokeby Venus,painting
Q126842324,Tomb of Paul III,sepulchral monument|sculpture|tomb
Q3955657,Tomb of Pope Urban VIII,sculpture|sepulchral monument|tomb
Q106777211,The Triumph of the Name of Jesus,painting
Q108759677,Triumph of Venice,drawing
Q121493619,The Triumph of Venice,painting
Q29941417,,painting
Q4245125,"Venus, Adonis and Cupid",painting
Q50973367,"Venus, Adonis and Cupid",painting
Q9372007,Jupiter and Antiope,painting
Q40453567,Badminton House from Badminton Park,painting
Q119840688,"View of Venice, Doge's Palace",painting
Q115557804,The Virgin Mary appears to Saint Francis,painting
Q69771968,Vestal Virgin Tuccia (Corradini sculpture),work of art
Q18689216,Self-Portrait as "Winter",pastel|painting
Q60473367,Scenes of Witchcraft,painting
Q3743879,The Worship of Venus,painting
Q52302544,Xenophon's Sacrifice to Diana,painting
Q1448203,The Conversion of Saint Paul,painting
Q21725513,Martyrdom of St Peter,painting
A3,Abigail giving Presents to David,
A33,Apotheosis of Aeneas,
A39,Bacchanalia,
A43,Batlisheba Bathing,
A64,Charity,
A75,Crossing of the Red Sea,
A80,Death,
A81,Death of Abel,
A82,Death of Cleopatra,
A115,Historic e di Maniera Veneziana,
A120,Incisa Della Rocchetta,
A128,Jupiter sending down his Thunder bolts on the Gods,
A129,Justice,
A132,Kufürst Clemens August,
A141,Leda,
A147,Masanella,
A154,Mostra dei Remondini,
A155,Mostra del Tiepolo,
A159,Narcissus,
A160,Nativity,
A161,nell’ingresso del procuratore Giorgio Pisani,
A304,Massacre of the Innocents,
A305,Augustinian Monastery Altarpiece,
A306,Gymnasium zum Grauen Kloster,
A307,Illustrations for De Bello Belgico,
A316,St. William of Aquitaine,
A318,Leto turning the Shepherds into Frogs,
A322,La Fiera dell' Impruneta,
A323,Jupiter among the Corybantes,
A352,Hebrew Women singing after crossing the Red Sea,
A356,Joint caricature of Simonelli and Mola,
A390,Modello for the Glory of S. Luigi Gonzaga,
A393,Moses strikin the Rock,
A446,Parnassus,
A480,Venus and Amor,
A1,Powers of Eloquence,
A2,A.M. Zanetti the Elder with Marchese Gerini,
A4,Addison,
A5,Adoration of the Magi,
A6,The Glorification of the Trinity with the Adoration of the instruments of Passion,
A7,Aedes Barberina ad Quirinalem,
A8,,
A9,Allegory of Clemency,
A10,Allegory of Coral fishing,
A11,Allegory of Rome,
A12,Allegory of the Arts,
A13,Allegory of the Education of the Crown Prince of the Palatinate,
A14,Allegory of Venice,
A15,Altar of Friendship,
A16,Altar of Tranquility and Rural Life,
A17,Altar of Wealth and Apollo,
A18,Altar Paintings for the Parish Church of San Canciano,
A19,Altarpiece for Chiesa Nuova,
A20,Altarpiece for Santa Maria dei Cappuccini,
A21,Altarpiece for St. Sebastian,
A22,Altarpiece for the Augustinian Church,
A23,Altarpieces for the Royal Chapel,
A24,Andromache weeping before Aeneas,
A25,Angelo Custode,
A26,Angels carrying the Instruments of the Passion and of St. Philip in Ecstasy,
A27,Animals and Figures in the Flemish Style|des animaux et figures à la flamande,
A28,Annunciation,
A29,Antichita di Palazzi,
A30,Apollo and the Muses,
A31,Apollo conducting Frederick Barbarossa's bride: Beatrice of Burgundy,
A32,Apostles,
A34,Apotheosis of the Pisani,
A35,Argus guarding,
A36,Ariadne being woken by Love,
A37,Babylon,
A38,Bacchus,
A40,Bacchus and Ariadne,
A41,Barberini Chapel in S. Andrea della Valle,
A42,Barberini Chapelin S.Andreadella Valle),
A44,Battaria di Cusina,
A45,Beggar holding a Rosary,
A46,Bishop Harold von Hocheim being invested with the princedom by the Emperor in 1163,
A47,Brutus killing Arruns,
A48,Bust of Democritus,
A49,Bust of Francis Bacon,
A50,Bust of Paolo Renier,
A51,Cadogan,
A52,Caesar and the Corsairs of Cilicia,
A53,Cain and Abel,
A54,Cardinal Francesco Barberini,
A55,Cardinal Mazarin in His Gallery,
A56,Caricature of Cassiano dal Pozzo,
A57,Carita Romana,
A58,Carro Della Notte,
A59,Castel Gandolfo,
A60,Cavaliere dello speron d'oro,
A61,Ceiling fresco of the Augustinian Church,
A62,Ceiling Frescoes in Palazzo Altieri,
A63,Ceiling Frescoes in the Quirinal Palace Gallery,
A65,Charles Fox,
A66,Charles I,
A67,Children at Play,
A68,Christ and St Veronica,
A69,Christ driving the Jews from the Temple,
A70,Christ in the Boat calming His Disciples,
A71,Cincinnatus summoned from the Plough,
A72,"Count of Bolagno, the Imperial ambassador",
A73,Cowper,
A74,Creusa imploring Aeneas to rescue his father Anchises from the fire of Troy,
A76,Crucifixion,
A77,Crucifixion with the Madonna,
A78,Danae,
A79,David with the head of Goliath,
A83,Death of Wallenstein,
A84,Decorations for St. Augustine Church,
A85,Decorative Paintings for Pisa Residence,
A86,Dedicatory Frontispiece to Etchings,
A87,Design for Sant'Andrea al Quirinale,
A88,Design for St. Peter's Square,
A89,Diana and Callisto,
A90,Divine Right of Kings,
A91,Dome Frescoes of Sant'Agnese in Agone,
A92,Dream of St Joseph,
A93,Duplex Intercessio,
A94,Facade of S. Maria del Giglio,
A95,Fantastical Heads in the Manner of Giorgione,
A96,Fates,
A97,Flaminio Corner,
A98,Flight into Egypt,
A99,Flight into Egypt,
A100,Flight of Aeneas from Troy,
A101,Flora,
A102,"Fortune under the control of Virtue, Justice and Peace",
A103,Four Evangelists,
A104,Francesco Algarotti,
A105,Frescoes in Lanfranco Cathedral,
A106,Frescoes in Palazzo Barberini Salone,
A107,Frescoes in Sant'Andrea della Valle,
A108,Frescoes in the Corsini Chapel,
A109,Frescoes in the Palace at Valmontone,
A110,G.M. Sasso,
A111,Gran Tempio Antico,
A112,Grand Prince Ferdinando of Tuscany,
A113,Gymnasium zum Grauen Kloster,
A114,Heroes approaching the Temple of Immortality,
A116,Illustrations for De Bello Belgico,
A117,Illustrations for Latin Poems,
A118,Images of Palladian Architecture,
A119,Imago Primi Saeculi,
A121,Interior of S. Andrea al Quirinale,
A122,Jacob and the Angel,
A123,Jacob's Ladder,
A124,Job and Wife and Isaac blessing Jacob,
A125,Joseph and Potiphar's Wife,
A126,Joseph Sold by his Brothers,
A127,Jupiter giving Suck,
A130,King Midas,
A131,King Solomon Bathing,
A133,"La Beata Vergine in Egitto, e S. Giuseppe",
A134,La Chiesa di Gesù Cristo vendicata ne' suoi contrasegni ne' suoi dogmi,
A135,La Notte,
A136,La rissa all'Ambasciata di Spagna,
A137,Landscape with Man fleeing from Serpent,
A138,Landscape with Man killed by a Snake,
A139,Landscape with Rural Dance,
A140,Landscape with Woman washing her Feet,
A142,Life of Christ series,
A143,Louis XIV,
A144,Main Dome Frescoes of the Church of the Gesù,
A145,Marriage Allegory of the Rezzonico Family,
A146,Martirii patiti da Santi Martiri per La confessione di Christo,
A148,Massacre of the Innocents,
A149,Meeting of Esau and Jacob,
A150,Mercury awaking Aeneas,
A151,Modello for fresco on vault of S. Ignazio,
A152,Mola painting the portrait of Pope Alexander VII,
A153,Mosaic from the Temple of Fortune at Praeneste,
A156,Murals at Windsor Castle,
A157,Murals for the Vienna Residence,
A158,Murder of Cain,
A162,Neptune,
A163,Nero being shown the Corpse of Seneca,
A164,Old man with a Pipe and Tobacco Pouch,
A165,Origin of Coral,
A166,Original proposals for reclaiming Prà de?a Va?e,
A167,"Où sont des pasteurs, des bergères et des moutons",
A168,Owen McSwiny,
A169,Pendentive Dome Frescoes of the Church of the Gesù,
A170,Perseus and Andromeda,
A171,Picture Exhibition at Church of S. Rocco,
A172,Pope Leo and Attila,
A173,"Pope Pius V, Thomas Aquinas and Vincent Ferrer",
A174,Port,
A175,Portrait of Donna Olimpia Maidalchini,
A176,Portrait of Madame Rosenberg,
A177,Portrait of Streit's Father,
A178,Portrait of Streit's Mother,
A179,Portrait of Streit's Sister,
A180,Portrait of the artist and his publisher Albrizzi,
A181,Portraits of the Count and Countess of Monterrey,
A182,Portraits of the Doges of Venice,
A183,Portraits of Venetian Cardinals,
A184,Portraits of Venetian Popes,
A185,Prudence and Justice,
A186,"Quadi, che rappresentano fatti della Sacra Scrittura",
A187,Rape of Helen,
A188,Regulus killed by the Carthaginians,
A189,Relief of Field Marshal Schulenburg,
A190,Religion trampling on Heresy,
A191,Rules of the Order,
A192,Sacrifice of Abraham,
A193,Sacrifices to Priapus,
A194,Saints Peter and Paul Baptising in the Mamertine Prison,
A195,Samson,
A196,Scenes from the Aeneid,
A197,Self-Portrait as David,
A198,Solomon adoring the Idols,
A199,Solomon and Bathsheba,
A200,St Stanislas Kostka on his deathbed,
A201,St Teresa wounded by Christ,
A202,St. Dominic instituting the Rosary,
A203,St. Eustace hunting,
A204,St. John and St. Charles Borromeo,
A205,St. Luigi Gonzaga,
A206,Standard Bearer,
A207,Statue of Antenor,
A208,Statue of Field Marshal Schulenburg,
A209,Strength protecting Wisdom,
A210,Sulla maniera di Zorzone,
A211,Susanna,
A212,Tarquin and Lucretia and a Joseph,
A213,Teodoro Correr,
A214,The Arrival at the Palace,
A215,The artist with a group of friends,
A216,The Ascension,
A217,The Ascension of Christ,
A218,The Assumption of the Blessed Luigi Gonzaga,
A219,The Assumption of the Virgin,
A220,The Banquet of Antony and Cleopatra,
A221,The Bath of Diana,
A222,The Bathers,
A223,The Beheading of St Paul,
A224,The Capture of Syracuse with the Death of Archimedes,
A225,The Circumcision,
A226,The Confession,
A227,The Conspiracy of Catiline,
A228,The Crossing of the Red Sea,
A229,The Death of Regulus,
A230,The Death of St Francis Xavier,
A231,The Deposition from the Cross,
A232,The Deposition from the Cross/Deposition,
A233,The Descent from the Cross,
